End Time,Artist Name,Track Name,Milliseconds Played
2024-04-17 17:07,Griever,PLAYIN' WITH FIRE,13951
2024-04-17 17:07,Unproven,Never See Me Again,4740
2024-04-17 17:08,Mutilator,Can You Feel It?!,16787
2024-04-17 17:08,Kruelty,Kill Them All,25893
2024-04-17 17:08,Riot Shift,DROP DEAD,9756
2024-04-17 17:09,Fraw,MONSTER,18349
2024-04-17 17:09,Fraw,Shots On The Floor,1700
2024-04-17 17:09,Riot Shift,DROP DEAD,770
2024-04-17 17:10,Fraw,NEXT LEVEL,104233
2024-04-17 17:14,Aftershock,I Won't Let You Down,8731
2024-04-17 17:14,Harris & Ford,Numb - Aftershock Remix,8226
2024-04-17 17:14,Fraw,FIRE & ICE,165458
2024-04-17 17:15,Cygnus X,Superstring - Aftershock Remix,55926
2024-04-17 17:19,Aftershock,Stand As Kings,208445
2024-04-17 17:22,Aftershock,Rocking With The Best,225433
2024-04-17 17:27,Aftershock,Inner Universe,291147
2024-04-17 17:31,Aftershock,I Can Feel,226054
2024-04-17 17:34,Aftershock,Light The Fire,105273
2024-04-18 05:24,alt-J,Left Hand Free,518
2024-04-18 05:25,Aftershock,Light The Fire,24861
2024-04-18 05:28,Rejecta,Lose Control,192000
2024-04-18 05:30,Spectre,Ready For War,160500
2024-04-18 05:34,Hard Driver,Closer & Closer (Lust),190774
2024-04-18 05:36,Anderex,I SEE THE FUTURE,149250
2024-04-18 05:38,Sanctuary,Big Change,145507
2024-04-18 05:41,Mutilator,OCEANS,148500
2024-04-18 05:44,Dual Damage,Can't Get You Outta My Head,156378
2024-04-18 05:47,Sickmode,TOO ANGRY,231050
2024-04-18 05:50,D-Sturb,In Your Bones,165375
2024-04-18 05:53,Inpulsa,Mind Control,162375
2024-04-18 05:56,Nightcraft,Stars,171000
2024-04-18 05:59,Vertile,Golden Hour,217532
2024-04-18 06:01,Fraw,Shots On The Floor,129378
2024-04-18 06:04,Sub Zero Project,TECHNOBOTS,142463
2024-04-18 06:07,Krowdexx,TINDER,186375
2024-04-18 06:10,D-Sturb,Lost In A Fantasy,195003
2024-04-18 06:15,Sound Rush,Power of the Tribe (Defqon.1 2024 Anthem),325494
2024-04-18 06:20,Anderex,Pole Position (Official Gearbox Pole Position 2023 Anthem),253410
2024-04-18 06:22,Riot Shift,STITCH ME UP,169875
2024-04-18 06:25,Malice,MF KING,141375
2024-04-18 06:28,Sickmode,DISCOVER THE MAYHEM (Official REBiRTH Festival 2024 Anthem),175854
2024-04-18 07:19,Sickmode,DISCOVER THE MAYHEM (Official REBiRTH Festival 2024 Anthem),63038
2024-04-18 07:21,Malice,MF KING,141375
2024-04-18 07:24,Riot Shift,STITCH ME UP,169875
2024-04-18 07:28,Anderex,Pole Position (Official Gearbox Pole Position 2023 Anthem),253410
2024-04-18 07:33,Sound Rush,Power of the Tribe (Defqon.1 2024 Anthem),325494
2024-04-18 07:37,D-Sturb,Lost In A Fantasy,195003
2024-04-18 07:40,Krowdexx,TINDER,186375
2024-04-18 07:42,Sub Zero Project,TECHNOBOTS,142463
2024-04-18 07:44,Fraw,Shots On The Floor,129378
2024-04-18 07:48,Vertile,Golden Hour,217532
2024-04-18 07:51,Nightcraft,Stars,171000
2024-04-18 07:53,Inpulsa,Mind Control,162375
2024-04-18 08:06,D-Sturb,In Your Bones,117515
2024-04-18 08:46,D-Sturb,In Your Bones,47899
2024-04-18 08:50,Sickmode,TOO ANGRY,231050
2024-04-18 08:53,Dual Damage,Can't Get You Outta My Head,156378
2024-04-18 08:55,Mutilator,OCEANS,148500
2024-04-18 08:57,Sanctuary,Big Change,145507
2024-04-18 09:00,Anderex,I SEE THE FUTURE,149250
2024-04-18 09:03,Hard Driver,Closer & Closer (Lust),190774
2024-04-18 09:07,Spectre,Ready For War,160500
2024-04-18 09:10,Rejecta,Lose Control,192000
2024-04-18 09:12,The Straikerz,Check This Out,115503
2024-04-18 09:15,Riot Shift,DROP DEAD,133500
